Health Service Area,HSA_Code,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Roseau, MN - Lake of the Woods, MN(6)",631,502.2,447.4,562.4,N/A , N/A , N/A,68,stable,-0.9,-2.7,0.9
"Union, AR - Columbia, AR(6)",486,501.8,470.6,534.7,N/A , N/A , N/A,206,stable,-0.7,-1.5,0.2
"Rolette, ND - Pierce, ND(6)",638,501.7,440.7,568.9,N/A , N/A , N/A,54,stable,-1,-2.4,0.3
"Douglas, WI(6)",907,501.6,464.4,541.2,N/A , N/A , N/A,149,falling,-3.1,-7,-0.8
"Rockland, NY(7)",865,501.5,486.7,516.7,N/A , N/A , N/A,898,falling,-1.5,-1.9,-1.1
"Coffee, GA - Jeff Davis, GA(7)",236,501.3,467.6,536.8,N/A , N/A , N/A,177,stable,0.7,-0.7,4.9
"Chambers, AL - Randolph, AL(6)",172,501.2,468.7,535.7,N/A , N/A , N/A,193,falling,-1.8,-7.4,-0.5
"Nobles, MN - Cottonwood, MN(6)",619,501.1,468.4,535.7,N/A , N/A , N/A,186,stable,-0.7,-1.4,0.1
"Navarro, TX - Freestone, TX(7)",489,501.1,471.2,532.5,N/A , N/A , N/A,221,falling,-1,-1.7,-0.2
"Comanche (Lawton), OK - Kiowa, OK(6)",493,500.6,477.5,524.7,N/A , N/A , N/A,370,stable,-0.4,-1,0.2
"Tom Green (San Angelo), TX - Runnels, TX(7)",426,500.6,480.1,521.7,N/A , N/A , N/A,472,stable,-0.5,-1.1,0.1
"Orange (Orlando), FL - Volusia, FL(6)",142,500.4,495.9,505,N/A , N/A , N/A,9803,falling,-1.2,-1.3,-0.9
"Summit (Akron), OH - Portage, OH(6)",352,500.4,491.8,509.2,N/A , N/A , N/A,2746,stable,-0.4,-0.7,0.7
"Nolan, TX - Mitchell, TX(7)",503,500.3,452.9,551.5,N/A , N/A , N/A,84,stable,-0.6,-1.4,0.2
"Putnam, TN - White, TN(6)",215,500.3,480,521.3,N/A , N/A , N/A,488,falling,-6.4,-8.7,-4.7
"Hennepin (Minneapolis), MN - Anoka, MN(6)",540,500.1,494.2,506.2,N/A , N/A , N/A,5766,falling,-0.8,-1.2,-0.5
"Polk, NC(6)",191,500.1,450.8,554.5,N/A , N/A , N/A,90,stable,0.5,-0.9,2
"Saginaw (Saginaw), MI - Tuscola, MI(6)",322,499.9,485.2,515.1,N/A , N/A , N/A,939,stable,0.2,-1.6,3.6
"Otsego, NY - Chenango, NY(7)",58,499.9,482.3,518.1,N/A , N/A , N/A,677,falling,-0.7,-1.1,-0.3
"Rutland, VT(6)",122,499.8,470.1,531.2,N/A , N/A , N/A,238,stable,1.8,-0.6,4.9
"Lafayette, MS - Calhoun, MS(6)",459,499.4,468.2,532.2,N/A , N/A , N/A,209,stable,-0.8,-2.1,0.6
"Terry, TX - Yoakum, TX(7)",514,499.3,437.8,567,N/A , N/A , N/A,50,stable,-0.6,-2.4,1.1
"Allen (Lima), OH - Auglaize, OH(6)",292,499.2,484.2,514.7,N/A , N/A , N/A,889,stable,-0.4,-1,0.2
"Buchanan (St. Joseph), MO - Nodaway, MO(6)",953,499.1,478.4,520.5,N/A , N/A , N/A,461,stable,-0.1,-0.8,0.7
"Henderson (Henderson), KY - Union, KY(7)",40,499,465.7,534.3,N/A , N/A , N/A,181,falling,-10,-15.7,-2.5
"Ward, ND - Bottineau, ND(6)",550,498.8,471.2,527.5,N/A , N/A , N/A,260,falling,-1.4,-2.5,-0.3
"Beckham, OK - Roger Mills, OK(6)",440,498.6,447.9,553.6,N/A , N/A , N/A,74,stable,-1.5,-3.2,0.2
"Brown, SD - Spink, SD(6)",572,498.3,468,530.3,N/A , N/A , N/A,215,stable,0.1,-0.7,0.9
"La Crosse (La Crosse), WI - Monroe, WI(6)",908,498.2,481.4,515.5,N/A , N/A , N/A,708,falling,-1,-1.7,-0.3
"Fairfield, CT(7)",121,498.1,489.5,506.9,N/A , N/A , N/A,2696,rising,1.7,0.6,3.2
"Kerr, TX - Gillespie, TX(7)",506,498,475.7,521.2,N/A , N/A , N/A,444,rising,2.9,0.4,7.8
"Choctaw, AL - Sumter, AL(6)",412,498,448.7,551.6,N/A , N/A , N/A,82,falling,-1.4,-3,-0.4
"Ada (Boise City), ID - Canyon, ID(7)",716,497.9,488.3,507.7,N/A , N/A , N/A,2155,falling,-1.7,-3.1,-0.7
"Orange (Newburgh), NY - Sullivan, NY(7)",86,497.8,485.4,510.5,N/A , N/A , N/A,1311,falling,-1.2,-1.5,-0.8
"Aroostook, ME(6)",136,497.8,470.1,527,N/A , N/A , N/A,271,falling,-1.4,-2.2,-0.7
"Stephens, OK - Jefferson, OK(6)",497,497.6,462.2,535.2,N/A , N/A , N/A,158,stable,-0.7,-1.3,0
"Kane (Aurora), IL - DeKalb, IL(7)",373,497.6,487.2,508.2,N/A , N/A , N/A,1865,falling,-0.8,-1.1,-0.4
"Barron, WI - Rusk, WI(6)",374,497.5,467.9,528.8,N/A , N/A , N/A,233,stable,-0.1,-1,0.9
"Story, IA - Boone, IA(7)",606,497.4,476.7,518.9,N/A , N/A , N/A,462,falling,-0.5,-0.8,-0.3
"Scurry, TX(7)",519,496.8,433.1,567.3,N/A , N/A , N/A,46,stable,-0.5,-2,1
"Sumter, SC - Clarendon, SC(6)",196,496.7,476,518.2,N/A , N/A , N/A,462,falling,-3.4,-8.8,-1.6
"Winnebago (Oshkosh), WI - Fond du Lac, WI(6)",306,496.5,484.2,509,N/A , N/A , N/A,1317,falling,-0.9,-1.3,-0.5
"Virginia Beach City, VA - Norfolk City, VA(6)",853,496.3,488.1,504.6,N/A , N/A , N/A,3017,falling,-0.7,-1,-0.3
"Laramie (Cheyenne), WY(6)",971,496.2,470.4,523.1,N/A , N/A , N/A,294,falling,-1.5,-2.6,-0.3
"Carbon, UT - Emery, UT(7)",809,496.1,449.5,546.4,N/A , N/A , N/A,90,stable,-0.2,-0.8,0.5
"Cherokee, NC - Clay, NC(6)",258,495.9,461.2,533.1,N/A , N/A , N/A,185,falling,-1.1,-2.7,-0.2
"Tarrant (Fort Worth), TX - Johnson, TX(7)",434,495.8,489.8,501.8,N/A , N/A , N/A,5736,stable,-0.2,-1.2,1.5
"Talladega, AL - Clay, AL(6)",241,495.7,471.5,520.9,N/A , N/A , N/A,343,stable,0.1,-2,3.9
"Brown, TX - Coleman, TX(7)",468,495.5,464.4,528.4,N/A , N/A , N/A,203,stable,0.9,-1.6,6.4
"Miami (Piqua), OH - Shelby, OH(6)",376,495.5,475.1,516.4,N/A , N/A , N/A,479,stable,-0.7,-1.9,0.5
"Hancock, IL(7)",367,495.3,441.1,555,N/A , N/A , N/A,68,falling,-1.3,-2.2,-0.4
"Grafton, NH - Sullivan, NH(6)",15,495.3,474.8,516.4,N/A , N/A , N/A,488,stable,0.2,-1.1,3.3
"Lawrence, PA(6)",129,495.2,469.5,522,N/A , N/A , N/A,304,falling,-1.4,-2.4,-0.5
"Lackawanna (Scranton), PA - Wayne, PA(6)",47,494.8,480,510,N/A , N/A , N/A,908,falling,-1.1,-1.5,-0.6
"Washington, OK - Nowata, OK(6)",933,494.7,463.5,527.5,N/A , N/A , N/A,198,stable,-0.7,-1.6,0.2
"Florence (Florence), SC - Darlington, SC(6)",184,494.7,479.8,509.9,N/A , N/A , N/A,910,falling,-4,-8.4,-2.2
"Stearns (St. Cloud), MN - Benton, MN(6)",588,494.5,479.2,510.3,N/A , N/A , N/A,834,stable,1.1,-0.6,3.7
"Adams, NE - Clay, NE(6)",564,494.5,458.1,533.3,N/A , N/A , N/A,147,falling,-1.3,-2.3,-0.3
"Hancock, OH - Seneca, OH(6)",386,494.3,472.1,517.4,N/A , N/A , N/A,399,stable,-0.6,-1.4,0.2
"Leon, TX - Madison, TX(7)",501,494.3,451.3,540.6,N/A , N/A , N/A,102,stable,-0.3,-1,0.4
"Leon (Tallahassee), FL - Gadsden, FL(6)",183,494.3,481.4,507.4,N/A , N/A , N/A,1194,stable,-0.1,-0.6,1.2
"Bryan, OK - Atoka, OK(6)",436,494,461.4,528.4,N/A , N/A , N/A,177,stable,-0.7,-1.4,0.1
"Hall, NE - Hamilton, NE(6)",555,493.9,466.9,522.1,N/A , N/A , N/A,261,falling,-1.3,-1.9,-0.8
"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA(7)",781,493.8,484.3,503.5,N/A , N/A , N/A,2148,rising,2.6,0.6,4.5
"Laurens, GA - Toombs, GA(7)",206,493.6,472.2,515.8,N/A , N/A , N/A,420,stable,-0.5,-1,0
"Douglas, MN - Pope, MN(6)",608,493.6,463.4,525.3,N/A , N/A , N/A,219,falling,-1.2,-1.8,-0.6
"Cole, MO - Callaway, MO(6)",581,493.5,476.9,510.6,N/A , N/A , N/A,706,falling,-3.1,-6.5,-0.6
"Sebastian (Fort Smith), AR - Crawford, AR(6)",421,493.4,476.8,510.5,N/A , N/A , N/A,705,stable,0.4,-0.4,2.6
"Taney, MO(6)",676,493.4,461.6,527,N/A , N/A , N/A,195,stable,-0.9,-2.3,0.6
"Jackson, NC - Macon, NC(6)",209,493.3,469.9,517.6,N/A , N/A , N/A,370,falling,-1.5,-3.1,-0.7
"Potter (Amarillo), TX - Randall, TX(7)",405,493.2,478.7,508.1,N/A , N/A , N/A,920,falling,-0.9,-1.4,-0.4
"Davidson (Nashville-Davidson), TN - Williamson, TN(6)",148,493.2,484.8,501.7,N/A , N/A , N/A,2853,stable,-0.6,-1.7,1.3
"Uvalde, TX(7)",536,493.1,440.5,550.4,N/A , N/A , N/A,66,rising,4.1,1.5,9.9
"Concordia, LA - Tensas, LA(7)",435,493.1,442.2,548.6,N/A , N/A , N/A,74,falling,-2.4,-6,-0.9
"Mobile (Mobile), AL - Baldwin, AL(6)",161,492.9,483.3,502.7,N/A , N/A , N/A,2126,stable,0,-0.7,1
"Pope, AR - Yell, AR(6)",442,492.6,464.5,521.9,N/A , N/A , N/A,242,rising,1.8,0.1,4.9
"Westchester (Yonkers), NY - Dutchess, NY(7)",41,492.5,486.1,499,N/A , N/A , N/A,4770,falling,-1.2,-1.4,-0.9
"Montgomery (Clarksville), TN - Stewart, TN(6)",234,492.3,471.6,513.6,N/A , N/A , N/A,474,falling,-4.7,-7.4,-2.5
"Defiance, OH - Williams, OH(6)",356,492.1,469.8,515.2,N/A , N/A , N/A,392,stable,-0.5,-1.3,0.3
"Rock Island (Moline), IL - Henry, IL(7)",307,492.1,475.5,509.1,N/A , N/A , N/A,711,falling,-5.8,-12.2,-0.5
"Laurens, SC - Greenwood, SC(6)",187,491.9,474.1,510.3,N/A , N/A , N/A,618,falling,-3.7,-6.4,-2.2
"Knox, IL - Warren, IL(7)",324,491.9,463,522.4,N/A , N/A , N/A,231,falling,-1,-1.4,-0.6
"Grand Forks (Grand Forks), ND - Walsh, ND(6)",949,491.7,464.8,519.8,N/A , N/A , N/A,267,stable,-0.5,-1.2,0.3
"Silver Bow, MT - Deer Lodge, MT(6)",742,491.4,459.5,525.1,N/A , N/A , N/A,194,stable,-0.5,-5.3,3.2
"Androscoggin (Lewiston), ME - Oxford, ME(6)",95,491.1,474,508.8,N/A , N/A , N/A,677,stable,0.2,-5.7,4.6
"Houston (Dothan), AL - Dale, AL(6)",162,490.8,475.7,506.4,N/A , N/A , N/A,845,falling,-1.3,-1.8,-0.7
"Marathon (Wausau), WI - Wood, WI(6)",282,490.6,476.5,505,N/A , N/A , N/A,986,falling,-1.5,-2.1,-1.1
"Essex (Newark), NJ - Middlesex, NJ(7)",66,490.2,484.9,495.6,N/A , N/A , N/A,6790,stable,0,-1.4,1.8
"Pontotoc, OK - Seminole, OK(6)",478,490.2,462.2,519.5,N/A , N/A , N/A,239,falling,-1.6,-2.2,-1
"St. Louis, MO - St. Louis City, MO(6)",541,490.1,483.9,496.4,N/A , N/A , N/A,5032,falling,-1.3,-1.6,-0.9
"Blue Earth, MN - Nicollet, MN(6)",573,490.1,467.1,514,N/A , N/A , N/A,359,stable,-0.7,-1.7,0.4
"Midland (Midland), MI - Isabella, MI(6)",330,489.8,472.5,507.7,N/A , N/A , N/A,649,stable,1.8,-1.8,7.7
"Mercer, WV - McDowell, WV(6)",866,489.5,462.6,517.6,N/A , N/A , N/A,272,falling,-2.3,-6.6,-1.5
"Roscommon, MI - Otsego, MI(6)",392,489,460.9,518.7,N/A , N/A , N/A,273,falling,-1.1,-1.8,-0.3
"Muskogee, OK - Wagoner, OK(6)",445,488.4,471.8,505.5,N/A , N/A , N/A,696,stable,-0.8,-1.5,0
"Portage, WI(6)",400,488.3,457.9,520.4,N/A , N/A , N/A,208,stable,-1,-1.9,0
"Linn, MO(6)",673,488.2,420.9,564.3,N/A , N/A , N/A,40,stable,-0.2,-1.7,1.3
"Otoe, NE - Johnson, NE(6)",660,487.9,437.5,542.9,N/A , N/A , N/A,72,stable,0,-1.7,1.8
"Taylor (Abilene), TX - Jones, TX(7)",428,487.7,469.9,506.1,N/A , N/A , N/A,584,stable,-0.1,-1.1,1.7
"Halifax with South Boston City, VA - Mecklenburg, VA(6)",71,487.5,461.5,514.8,N/A , N/A , N/A,293,falling,-6,-9.9,-1.1
"Freeborn, MN - Faribault, MN(6)",646,487.5,453.1,524,N/A , N/A , N/A,163,falling,-0.8,-1.4,-0.1
"Bowie (Texarkana), TX(7)",925,487.4,460.8,515.3,N/A , N/A , N/A,263,falling,-1.3,-1.8,-0.7
"Chittenden (Burlington), VT - Franklin, VT(6)",49,487.4,471.2,504,N/A , N/A , N/A,745,falling,-0.8,-1.3,-0.2
"King (Seattle), WA - Snohomish, WA(7)",736,487.3,482.7,491.9,N/A , N/A , N/A,9219,stable,-0.4,-1,0.6
"Davis, UT - Weber (Ogden), UT(7)",744,487,475.6,498.6,N/A , N/A , N/A,1471,rising,1.9,0.8,3.9
"Osceola, FL(6)",257,486.9,472.4,501.8,N/A , N/A , N/A,898,stable,-0.6,-1.3,0.2
"Hays (San Marcos), TX - Caldwell, TX(7)",510,486.6,468.4,505.3,N/A , N/A , N/A,609,stable,0.3,-2.9,2.8
"Boone (Columbia), MO - Randolph, MO(6)",553,486.4,469.5,503.8,N/A , N/A , N/A,661,falling,-1,-1.7,-0.4
"Dallas, AL - Marengo, AL(6)",175,486,457.2,516.2,N/A , N/A , N/A,236,falling,-2.6,-10.9,-0.9
"Iron, UT - Beaver, UT(7)",755,485.8,449.7,524.1,N/A , N/A , N/A,145,stable,-0.3,-0.9,0.4
"Crawford, WI(6)",919,485.8,430.8,546.7,N/A , N/A , N/A,64,stable,5.4,-2.8,12.6
"Rice, MN(6)",396,485.7,454.5,518.6,N/A , N/A , N/A,189,stable,-0.8,-1.5,0
"Berkeley, WV - Jefferson, WV(6)",861,485.7,468.5,503.3,N/A , N/A , N/A,661,falling,-0.9,-1.3,-0.5
"Providence (Providence), RI - Kent, RI(6)",859,485.3,477.2,493.6,N/A , N/A , N/A,2867,falling,-1.7,-2.1,-1.3
"Scott, TN(6)",263,485.3,432.2,543.5,N/A , N/A , N/A,64,falling,-1.7,-4.7,-0.3
"Garfield (Enid), OK - Kingfisher, OK(6)",429,485.1,461.5,509.7,N/A , N/A , N/A,330,falling,-1.6,-8.6,-0.8
"Oktibbeha, MS - Winston, MS(6)",484,485,455.7,515.7,N/A , N/A , N/A,218,stable,-1.1,-8.8,1.5
"Payette, ID - Washington, ID(7)",729,484.9,448.7,523.6,N/A , N/A , N/A,145,stable,-0.9,-2.1,0.3
"Grady, OK - Caddo, OK(6)",476,484.8,456.8,514.2,N/A , N/A , N/A,240,stable,-0.1,-0.7,0.5
"Winnebago (Rockford), IL - Ogle, IL(7)",291,484.6,472.4,497,N/A , N/A , N/A,1280,falling,-0.9,-1.2,-0.6
"Daggett, UT(7)",799,484.3,287.6,800.8,N/A , N/A , N/A,4,*,*,*,*
"Lamar, AL(6)",461,484.3,421.8,554.2,N/A , N/A , N/A,47,stable,-0.2,-1.5,1.2
"Wilkes, NC(6)",256,483.8,455.2,513.9,N/A , N/A , N/A,231,falling,-1.6,-6.2,-0.7
"Augusta, VA - Staunton City, VA(6)",97,483.7,465.4,502.7,N/A , N/A , N/A,561,falling,-5.8,-8.1,-3.9
"Independence, AR - Sharp, AR(6)",574,483.7,460.1,508.4,N/A , N/A , N/A,339,falling,-1,-1.9,-0.1
"Warren, MS - Claiborne, MS(6)",928,483.7,448.2,521.3,N/A , N/A , N/A,154,falling,-1.6,-2.4,-0.8
"Victoria (Victoria), TX - Calhoun, TX(7)",433,483.6,465.1,502.7,N/A , N/A , N/A,543,falling,-1.3,-1.6,-0.9
"Pulaski (Little Rock), AR - Faulkner, AR(6)",432,483.4,474,493,N/A , N/A , N/A,2109,falling,-1.4,-1.9,-0.8
"Stark (Canton), OH - Wayne, OH(6)",347,483.2,473.5,493.1,N/A , N/A , N/A,2020,falling,-0.8,-1.1,-0.4
"White, AR - Cleburne, AR(6)",457,483,459.6,507.4,N/A , N/A , N/A,337,falling,-1.7,-2.3,-1.1
"Orangeburg, SC - Bamberg, SC(6)",176,482.5,460.1,505.7,N/A , N/A , N/A,384,falling,-1.8,-2.3,-1.4
"Cache, UT(7)",966,482.4,454.7,511.3,N/A , N/A , N/A,236,rising,5,2.4,8.6
"Poweshiek, IA(7)",686,482.2,427.3,542.9,N/A , N/A , N/A,60,stable,-0.4,-1.1,0.4
"New Castle (Wilmington), DE(6)",75,482.1,471.1,493.4,N/A , N/A , N/A,1541,falling,-2,-3,-1.7
"Grant, WA - Chelan, WA(6)",747,482.1,466.7,498,N/A , N/A , N/A,784,falling,-1,-1.5,-0.4
"Bradley, TN - Polk, TN(6)",895,481.6,459,505.1,N/A , N/A , N/A,362,falling,-1.9,-3.3,-1
"Madison, NE - Wayne, NE(6)",577,481.6,450.9,513.9,N/A , N/A , N/A,196,falling,-1.4,-2.2,-0.5
"Rowan, KY - Morgan, KY(7)",67,481.5,446.6,518.6,N/A , N/A , N/A,150,falling,-2.6,-4.2,-1.7
"Manatee, FL(6)",266,481.4,470.3,492.7,N/A , N/A , N/A,1646,stable,-0.5,-1,0
"Worcester (Worcester), MA - Franklin, MA(7)",101,481,472.5,489.6,N/A , N/A , N/A,2654,falling,-1,-1.3,-0.6
"Gray, TX - Wheeler, TX(7)",460,480.8,436.9,528.1,N/A , N/A , N/A,90,falling,-2,-2.9,-1.1
"Mifflin, PA - Huntingdon, PA(6)",110,480.8,459,503.4,N/A , N/A , N/A,389,stable,-0.2,-0.9,0.5
"Philadelphia (Philadelphia), PA - Montgomery, PA(6)",28,480.7,476.6,484.8,N/A , N/A , N/A,11280,falling,-2.6,-5.1,-1.9
"McLean (Bloomington), IL - Woodford, IL(7)",338,480.2,462.2,498.7,N/A , N/A , N/A,572,falling,-1.3,-1.9,-0.8
"Houston, MN(6)",981,480.1,427.5,538,N/A , N/A , N/A,68,stable,-1.5,-13.7,1.7
"York (York), PA - Adams, PA(6)",868,480.1,469.7,490.7,N/A , N/A , N/A,1716,falling,-1.3,-1.8,-0.9
"Jackson, AR(6)",521,479.9,420,546.3,N/A , N/A , N/A,49,stable,-1.7,-3.5,0.1
"Newport News City, VA - Hampton City, VA(6)",5,479.8,468.7,491.1,N/A , N/A , N/A,1498,falling,-1.3,-1.8,-0.9
"Ashley, AR - Chicot, AR(6)",480,479.7,437.4,525.4,N/A , N/A , N/A,100,stable,-0.2,-1.5,1.1
"Watauga, NC - Ashe, NC(6)",194,479.6,452.2,508.3,N/A , N/A , N/A,253,falling,-0.8,-1.3,-0.2
"St. Charles (St. Charles), MO - Lincoln, MO(6)",599,479.5,467.7,491.4,N/A , N/A , N/A,1355,falling,-1.4,-1.9,-0.9
"Frederick, MD(6)",48,479.1,462.8,495.9,N/A , N/A , N/A,700,stable,-0.2,-1,1.2
"Baxter, AR - Marion, AR(6)",407,479,451.1,508.5,N/A , N/A , N/A,264,stable,-0.8,-1.9,1.3
"Stafford, VA - Spotsylvania, VA(6)",135,478.8,464.2,493.7,N/A , N/A , N/A,903,falling,-1.9,-2.6,-1.2
"Charleston (Charleston), SC - Berkeley, SC(6)",212,478.7,469.6,488,N/A , N/A , N/A,2272,falling,-1.8,-2.1,-1.4
"Washington, UT - Kane, UT(7)",964,478.7,461.5,496.5,N/A , N/A , N/A,641,stable,0,-0.3,0.3
"Carroll, VA - Grayson, VA(6)",873,478.6,447.2,511.9,N/A , N/A , N/A,191,stable,-0.7,-2.1,0.7
"Cumberland (Portland), ME - Knox, ME(6)",9,478.5,466.8,490.5,N/A , N/A , N/A,1362,stable,-0.1,-2,2.8
"Tioga, PA(6)",128,478.2,442.7,516.1,N/A , N/A , N/A,149,stable,-1.3,-2.8,0.2
"Clark, MO(6)",922,478,391.5,579.8,N/A , N/A , N/A,23,stable,-0.4,-3.9,3.2
"Jefferson (Birmingham), AL - Shelby, AL(6)",150,478,470.7,485.5,N/A , N/A , N/A,3447,falling,-1.7,-3.8,-1.3
"Jackson (Jackson), MI - Lenawee, MI(6)",375,477.9,464.9,491.2,N/A , N/A , N/A,1101,falling,-1.1,-1.6,-0.7
"Escambia, AL - Conecuh, AL(6)",163,477.7,443.1,514.6,N/A , N/A , N/A,149,falling,-1.4,-2.2,-0.6
"Shasta (Redding), CA - Trinity, CA(7)",710,477.5,461.2,494.2,N/A , N/A , N/A,710,falling,-1.2,-1.8,-0.7
"Bergen, NJ - Hudson (Jersey City), NJ(7)",36,477.3,471.6,483.1,N/A , N/A , N/A,5565,stable,0.2,-1,2.1
"Greenbrier, WV - Monroe, WV(6)",862,476.9,443.4,512.5,N/A , N/A , N/A,168,falling,-1.5,-4.9,-0.8
"Dauphin (Harrisburg), PA - Cumberland, PA(6)",43,476.9,467.6,486.3,N/A , N/A , N/A,2136,falling,-0.8,-1.1,-0.5
"Alpena, MI - Presque Isle, MI(6)",371,476.8,449.1,506.1,N/A , N/A , N/A,269,falling,-1.5,-2.7,-0.3
"Gallatin and Yellowstone National Park, MT - Madison, MT(6)",773,476.5,452.2,501.8,N/A , N/A , N/A,315,stable,-0.3,-0.9,0.5
"Allegheny (Pittsburgh), PA - Westmoreland, PA(6)",42,476.5,471.2,481.8,N/A , N/A , N/A,6653,falling,-3.2,-5.2,-1.4
"Washington (Hagerstown), MD(6)",72,476.4,456.6,496.8,N/A , N/A , N/A,457,falling,-1.2,-1.8,-0.6
"White, IL - Hamilton, IL(7)",383,476.2,428,529,N/A , N/A , N/A,76,falling,-11.5,-23,-1.5
"Denton (Denton), TX - Wise, TX(7)",495,476.1,466.5,485.9,N/A , N/A , N/A,2116,falling,-1.9,-3.3,-0.9
"Albemarle, VA - Charlottesville City, VA(6)",99,476.1,463.5,488.9,N/A , N/A , N/A,1159,falling,-1.3,-1.9,-0.6
"Mahoning (Youngstown), OH - Trumbull, OH(6)",345,476,464.6,487.7,N/A , N/A , N/A,1433,falling,-1.7,-2.1,-1.3
"Custer, OK - Washita, OK(6)",475,476,434.5,520.5,N/A , N/A , N/A,101,stable,-0.1,-7.7,5.9
"Decatur, GA - Seminole, GA(7)",228,475.5,439.1,514.3,N/A , N/A , N/A,135,stable,-0.8,-1.6,0.1
"Dimmit, TX(7)",531,474.8,389.5,573.4,N/A , N/A , N/A,23,rising,15.4,1.9,24.5
"Travis (Austin), TX - Williamson, TX(7)",425,474.5,468,481.1,N/A , N/A , N/A,4397,stable,-1,-2.7,0.9
"Lauderdale (Florence), AL - Colbert, AL(6)",219,474.3,457.3,491.8,N/A , N/A , N/A,627,falling,-1.3,-3,-0.7
"Venango, PA - Clarion, PA(6)",52,474.2,450.7,498.7,N/A , N/A , N/A,337,falling,-1.6,-2.1,-1
"Brazos (Bryan), TX - Washington, TX(7)",464,474.1,458.3,490.4,N/A , N/A , N/A,716,rising,2,0.2,4.4
"Bradford, PA - Susquehanna, PA(6)",858,474.1,452.1,497,N/A , N/A , N/A,390,falling,-1.2,-2,-0.5
"Lemhi, ID(7)",813,472.8,403,554.6,N/A , N/A , N/A,40,stable,-0.3,-1.6,1.1
"Humboldt, CA(7)",800,472.6,451.1,494.9,N/A , N/A , N/A,396,falling,-1.3,-1.7,-0.8
"Hardin, TN - McNairy, TN(6)",245,472.5,440.6,506.3,N/A , N/A , N/A,179,falling,-6.4,-13.9,-1
"Boyd, NE(6)",595,472.2,327.7,676.8,N/A , N/A , N/A,9,falling,-20.9,-37.1,-3.1
"Dane (Madison), WI - Sauk, WI(6)",301,472,462.5,481.5,N/A , N/A , N/A,2050,falling,-0.8,-1.2,-0.5
"Washington, VT - Windsor, VT(6)",857,471.6,452.5,491.5,N/A , N/A , N/A,507,falling,-1.2,-1.7,-0.7
"Ector (Odessa), TX - Reeves, TX(7)",444,471.1,449.2,493.8,N/A , N/A , N/A,381,falling,-1.2,-1.8,-0.6
"Windham, VT(6)",877,470.5,436.1,507.1,N/A , N/A , N/A,162,falling,-1.5,-2.8,-0.2
"Caledonia, VT - Orleans, VT(6)",103,470.3,444.8,497.1,N/A , N/A , N/A,280,falling,-1.5,-2.1,-0.9
"Roanoke City, VA - Roanoke, VA(6)",14,470,460.1,480.1,N/A , N/A , N/A,1826,falling,-1.1,-1.7,-0.4
"Palm Beach (West Palm Beach), FL - St. Lucie, FL(6)",221,469.8,464.8,474.9,N/A , N/A , N/A,7288,falling,-0.9,-1.2,-0.5
"Lancaster, PA(6)",140,469.8,459.2,480.5,N/A , N/A , N/A,1588,falling,-1.2,-1.6,-0.8
"Henry, MO - Bates, MO(6)",607,469.5,436.1,504.9,N/A , N/A , N/A,161,falling,-1.4,-2.3,-0.4
"Oklahoma (Oklahoma City), OK - Canadian, OK(6)",417,469.3,461,477.7,N/A , N/A , N/A,2607,falling,-1.5,-1.9,-1.1
"Dallas (Dallas), TX - Collin, TX(7)",453,469.1,464.4,473.7,N/A , N/A , N/A,8686,stable,-0.2,-0.9,0.9
"Marin, CA(7)",764,469,455,483.5,N/A , N/A , N/A,900,falling,-1.1,-1.5,-0.7
"Bannock, ID - Bingham, ID(7)",696,468.9,447.5,491.1,N/A , N/A , N/A,385,stable,2.3,-0.5,7.1
"Cook (Chicago), IL - DuPage, IL(7)",287,468.7,465.5,471.8,N/A , N/A , N/A,17974,stable,-0.6,-1.1,0.4
"Nez Perce, ID - Idaho, ID(7)",694,468.6,442.8,495.7,N/A , N/A , N/A,270,falling,-1,-1.5,-0.6
"Kay (Ponca City), OK - Osage, OK(6)",515,468.6,444,494.4,N/A , N/A , N/A,286,falling,-1.5,-2.1,-0.8
"Red Willow, NE - Hitchcock, NE(6)",955,468.4,407.6,536.6,N/A , N/A , N/A,46,falling,-1.7,-3.2,-0.3
"Jackson (Medford), OR - Josephine, OR(6)",973,468.2,455.3,481.5,N/A , N/A , N/A,1082,falling,-1.3,-1.9,-0.7
"Hughes, SD - Stanley, SD(6)",629,467.9,422.8,516.7,N/A , N/A , N/A,86,stable,-0.7,-2.2,0.9
"Hertford, NC - Bertie, NC(6)",243,467.8,439.1,498.1,N/A , N/A , N/A,215,falling,-1.1,-1.9,-0.3
"Lee (Auburn), AL - Elmore, AL(6)",179,467.5,452.6,482.8,N/A , N/A , N/A,807,stable,-0.5,-1.1,0.2
"Lancaster (Lincoln), NE - Gage, NE(6)",561,466.9,453.5,480.7,N/A , N/A , N/A,966,falling,-5.5,-8.3,-3.4
"York, NE - Polk, NE(6)",611,466.9,415.5,523.5,N/A , N/A , N/A,65,stable,-0.4,-1.7,0.9
"Pulaski, MO - Phelps, MO(6)",627,466.9,442.6,492.1,N/A , N/A , N/A,290,falling,-1.1,-1.8,-0.5
