Health Service Area,HSA_Code,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Black Hawk (Waterloo), IA - Bremer, IA(7)",557,571,552.8,589.8,N/A , N/A , N/A,782,stable,-0.2,-0.4,0.3
"Pike, MS - Marion, MS(6)",477,570.9,542.5,600.3,N/A , N/A , N/A,328,stable,-0.6,-1.4,0.2
"Bolivar, MS - Leflore, MS(6)",487,570.6,539.9,602.6,N/A , N/A , N/A,282,falling,-1,-2.1,-0.1
"Monmouth, NJ - Ocean (Brick Township), NJ(7)",108,570.2,562.8,577.7,N/A , N/A , N/A,4767,stable,0.5,-1.1,2.5
"Gaston (Gastonia), NC - Cleveland, NC(6)",218,570.2,557.5,583.1,N/A , N/A , N/A,1660,stable,1,-0.2,3.1
"Pontotoc, MS - Union, MS(6)",482,570,538.5,603,N/A , N/A , N/A,259,stable,0.3,-0.6,1.2
"Erie (Buffalo), NY - Monroe, NY(7)",54,569.9,563.9,575.9,N/A , N/A , N/A,7449,stable,0,-0.8,1.2
"Penobscot (Bangor), ME - Hancock, ME(6)",17,569.1,553,585.5,N/A , N/A , N/A,1053,stable,-1.1,-2.6,0.3
"Pennington, MN - Marshall, MN(6)",604,568.8,523.8,616.9,N/A , N/A , N/A,127,stable,0.3,-0.6,1.2
"Camden (Camden), NJ - Burlington, NJ(7)",23,568.7,561,576.5,N/A , N/A , N/A,4442,falling,-0.9,-1.2,-0.5
"Floyd, IA - Chickasaw, IA(7)",634,568.3,521,619.1,N/A , N/A , N/A,115,stable,0.2,-0.3,0.8
"St. Tammany (Slidell), LA - Washington, LA(7)",500,568.1,552.4,584.1,N/A , N/A , N/A,1077,falling,-0.6,-1.1,-0.1
"Lee, IA(7)",982,567.1,522.8,614.4,N/A , N/A , N/A,133,stable,-0.4,-1,0.2
"Brunswick, VA - Greensville, VA(6)",130,566.9,522.7,614,N/A , N/A , N/A,129,stable,-0.6,-1.8,0.6
"Crow Wing, MN - Cass, MN(6)",612,566.8,546.9,587.4,N/A , N/A , N/A,694,stable,1.9,-0.1,5.6
"Calhoun (Anniston), AL - Cleburne, AL(6)",177,566.5,542.1,591.8,N/A , N/A , N/A,440,rising,2.7,0.6,6.5
"Bourbon (Paris), KY - Nicholas, KY(7)",102,565.9,516.6,619,N/A , N/A , N/A,103,stable,-0.1,-1,0.8
"Rapides (Alexandria), LA - Avoyelles, LA(7)",450,565.9,547.8,584.4,N/A , N/A , N/A,783,stable,-0.5,-0.9,0
"Hall, GA - Habersham, GA(7)",157,565.6,552,579.4,N/A , N/A , N/A,1399,stable,-0.3,-0.7,0.1
"Atlantic (Atlantic City), NJ - Cape May, NJ(7)",64,564.6,551,578.4,N/A , N/A , N/A,1439,falling,-1.1,-1.4,-0.8
"Vermilion, IL - Edgar, IL(7)",333,564.6,537.6,592.6,N/A , N/A , N/A,352,stable,-0.4,-0.9,0.1
"Madison, LA(7)",431,564.2,478.1,661.8,N/A , N/A , N/A,33,stable,0.5,-1.2,2.3
"Peoria (Peoria), IL - Tazewell, IL(7)",277,564.1,550.2,578.3,N/A , N/A , N/A,1314,falling,-0.8,-1.3,-0.4
"Wilkinson, MS(6)",525,563.2,475.8,662.8,N/A , N/A , N/A,32,stable,-0.8,-3.7,2.1
"Adams, IL - Pike, IL(7)",353,562.9,534.2,592.9,N/A , N/A , N/A,306,stable,1.7,-5.4,7.5
"Forrest, MS - Lamar, MS(6)",409,562.7,541.1,585,N/A , N/A , N/A,538,stable,-0.2,-0.8,0.5
"Wayne, NC - Lenoir, NC(6)",238,562.6,545,580.6,N/A , N/A , N/A,828,stable,-0.1,-0.8,0.5
"Lewis, KY(7)",337,562.5,491.5,641.7,N/A , N/A , N/A,49,stable,0.4,-0.7,1.7
"Jefferson (Steubenville), OH - Harrison, OH(6)",360,562.1,533.6,592,N/A , N/A , N/A,322,stable,2.6,-5.2,9.5
"Henry, TN - Carroll, TN(6)",882,561.1,532.3,591.1,N/A , N/A , N/A,312,stable,-0.9,-2.9,0.1
"Marion (Ocala), FL - Citrus, FL(6)",233,560.8,550.3,571.4,N/A , N/A , N/A,2688,falling,-0.8,-1.1,-0.5
"Woodbury (Sioux City), IA - Plymouth, IA(7)",560,560.6,540,581.7,N/A , N/A , N/A,597,stable,-0.2,-1.2,0.9
"Chautauqua, NY(7)",106,560.2,537.3,583.8,N/A , N/A , N/A,494,stable,-2.4,-4.4,0.4
"Carroll, KY - Trimble, KY(7)",914,560.1,500.1,625.7,N/A , N/A , N/A,68,stable,-0.1,-1.1,1
"Kent, MD(6)",124,559.7,504.2,620.5,N/A , N/A , N/A,87,stable,-0.1,-1.7,1.5
"Wicomico, MD - Worcester, MD(6)",852,559.5,539.9,579.7,N/A , N/A , N/A,662,stable,-0.2,-1.4,2.3
"Cumberland, NJ(7)",127,559.2,536.5,582.7,N/A , N/A , N/A,477,stable,-0.4,-0.9,0.1
"Scioto, OH - Ross, OH(6)",916,558.8,538.8,579.4,N/A , N/A , N/A,626,stable,0,-0.6,0.5
"Onondaga (Syracuse), NY - Oswego, NY(7)",56,558.5,547.9,569.1,N/A , N/A , N/A,2309,stable,-0.1,-0.8,1.1
"Racine (Racine), WI - Kenosha, WI(6)",382,558.2,543.5,573.3,N/A , N/A , N/A,1180,stable,0.1,-0.3,0.5
"Pearl River, MS(6)",936,558,522.6,595.2,N/A , N/A , N/A,203,stable,-0.9,-1.9,0.1
"Isanti (Cambridge), MN - Mille Lacs, MN(6)",603,557.2,528.4,587.3,N/A , N/A , N/A,301,rising,3.6,0.4,9.2
"Claiborne, TN(6)",878,557.2,511.4,606.2,N/A , N/A , N/A,120,falling,-7.5,-14.5,-0.9
"Albany (Albany), NY - Rensselaer, NY(7)",10,556.9,544.2,569.9,N/A , N/A , N/A,1557,falling,-1.2,-3.5,-0.7
"Baldwin, GA(7)",828,556.9,516.4,599.9,N/A , N/A , N/A,149,stable,-0.3,-1.2,0.6
"Luzerne (Wilkes-Barre), PA - Columbia, PA(6)",78,556.1,543.3,569.1,N/A , N/A , N/A,1530,falling,-0.4,-0.7,-0.1
"Pottawattamie (Council Bluffs), IA - Harrison, IA(7)",596,555.5,534.3,577.3,N/A , N/A , N/A,556,stable,-0.2,-0.6,0.2
"Alamance, NC(6)",267,555.1,533.7,577.1,N/A , N/A , N/A,536,stable,1.2,-0.7,4.4
"Washington, MS - Sharkey, MS(6)",488,554.7,514.8,597,N/A , N/A , N/A,160,stable,-0.9,-3.4,0.2
"Polk, MN(6)",584,554.6,507.9,604.7,N/A , N/A , N/A,111,stable,0,-1.3,1.3
"Mitchell, IA(7)",665,553.9,475.4,642.6,N/A , N/A , N/A,40,stable,1.1,-0.1,5.7
"Kenton (Covington), KY - Campbell, KY(7)",2,553.8,540,567.9,N/A , N/A , N/A,1342,falling,-0.8,-1.1,-0.4
"Appanoose, IA - Davis, IA(7)",649,553.8,500.3,612,N/A , N/A , N/A,85,stable,-0.2,-0.8,0.5
